NO;LEVEL;TANGGAL PEMANTAUAN;PERIODE PEMANTAUAN;KODE LOKASI;NAMA LOKASI;ALAMAT LOKASI;PROVINSI;LATITUDE;LONGITUDE;PERUNTUKAN;TSS (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER TSS  (mg/L);DO (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER OKSIGEN TERLARUT  (mg/L);MINYAK & LEMAK (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER MINTAK DAN LEMAK  (mg/L);AMONIA TOTAL (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER AMONIA TOTAL mg/L);ORTOFOSFAT (PO4-P) (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PO4- (mg/L);BOD (mg/L);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER BOD (mg/L);SUHU;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER SUHU;SALINITAS;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER SALINITAS;KECERAHAN;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER KECERAHAN;KEKERUHAN (NTU);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER KEKERUHAN (NTU);PAH (Polisiklik Aromatik Hidrokarbon);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PAH;PESTISIDA/HERBISIDA (BHC);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (BHC) ;PESTISIDA/HERBISIDA (DDT);STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (DDT) ;"PESTISIDA/HERBISIDA
(ENDRIN)";STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER PESTISIDA/HERBISIDA (ENDRIN) ;FECAL COLIFORM/E.COLI;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER FECAL/COLIFORM; (DIC) DISSOLVED OXYGEN CARBON;STATUS KELAYAKAN TERUMBU KARANG BERDASARKAN PARAMETER  (DIC) DISSOLVED OXYGEN CARBON
1;PROVINSI;02/12/2021;2;T3-KT-11-004;Kalteng 25;Titik Kontrol Pulang Pisau;Kalimantan Tengah;-3.456099;114.018858;Biota Laut;69.83;Tidak Layak;4.87;Tidak Layak;1;Layak;0.15;Layak;0.02;Layak;5.8;Tidak Layak;29.5;Layak;Tidak ada data;Layak;Tidak ada data;Layak;6.5;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
2;PROVINSI;01/12/2021;1;T3-YO-02-003;Pantai Kuwaru;Pantai Kuwaru;Daerah Istimewa Yogyakarta;-7.990191;110.225932;Wisata Bahari;24.25;Layak;6.12;Layak;0.3;Layak;0.09;Layak;0.02;Layak;Tidak ada data;Tidak Layak;31;Layak;32.7;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
3;PUSAT;11/05/2021;2;T1-BT-04-004;Banten14;LBE;Banten;-5.882208;106.04962;Pelabuhan;31.25;Layak;5.53;Layak;0.5;Layak;0.16;Layak;0.02;Layak;Access Forbidden;Tidak Layak;30.8;Layak;Access Forbidden;Tidak Layak;3.2;Layak;3.1;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
4;PUSAT;27/03/2021;2;T1-SS-07-012;Sumsel20;Muara Sungai Musi 2;Sumatera Selatan;-2.307018;104.930857;Biota Laut;25.84;Layak;6.09;Layak;0.5;Layak;0.02;Layak;0.02;Layak;Tidak ada data;Tidak Layak;29.1;Layak;Access Forbidden;Tidak Layak;3.4;Layak;3.7;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;2.4;Layak;Tidak ada data;Tidak ada baku mutu
5;PUSAT;09/05/2024;2;T1-JA-75-002;Jambi06;Tanjung Solok 1;Jambi;-0.961687;103.788295;Biota Laut;56.32;Tidak Layak;5.66;Layak;1;Layak;0.19;Layak;0.03;Layak;5.6;Tidak Layak;29.3;Layak;31.5;Layak;Tidak ada data;Layak;1.7;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;Tidak ada data;Tidak ada baku mutu
6;PUSAT;17/03/2022;2;T3-ST-02-003;PPN SULTENG POS 01;TP-1 Air Laut 30 meter arah utara dari outfall Oil Catcher 1 PT PPN - Fuel Terminal Poso;Sulawesi Tengah;-1.393817;120.715679;Pelabuhan;40.31;Layak;6.81;Layak;0.3;Layak;0.08;Layak;0.02;Layak;Tidak ada data;Tidak Layak;30.1;Layak;32.9;Layak;Tidak ada data;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
7;PUSAT;08/04/2026;2;T1-PT-01-011;Papua Tengah 11;Sungai Kali Nabire;Papua Tengah;-3.362484;135.487248;Biota Laut;70.36;Tidak Layak;6.37;Layak;0.3;Layak;0.19;Layak;0.01;Layak;3.3;Layak;30.5;Layak;32.1;Layak;3.5;Layak;Access Forbidden;Tidak Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Access Forbidden;Tidak Layak;1.8;Layak;Tidak ada data;Tidak ada baku mutu
8;PROVINSI;23/12/2020;1;T1-KU-71-005;Kaltara06;Jalur Phonton Beringin;Kalimantan Utara;3.289453;117.575106;Pelabuhan;59.06;Tidak Layak;6.85;Layak;0.5;Layak;0.02;Layak;0.03;Layak;4;Layak;28.9;Layak;33;Layak;4;Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
9;PUSAT;09/02/2020;1;T1-SS-07-010;Sumsel10;Dermaga Pelabuhan Tanjung Api-api 3;Sumatera Selatan;-2.360321;104.812188;Pelabuhan;57.32;Tidak Layak;5.5;Layak;1;Layak;0.08;Layak;0.03;Layak;Access Forbidden;Tidak Layak;28.6;Layak;31;Layak;4.6;Layak;7.2;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak Layak;Tidak ada data;Tidak ada baku mutu
10;PUSAT;06/06/2019;2;T3-NB-04-004;PLN NTB SBW 03;500 m setelah intake PLTMG - PT PLN (Persero) UP Tambora PLTMG Sumbawa;Nusa Tenggara Barat;-8.442096;117.337529;Pelabuhan;69.61;Tidak Layak;6.5;Layak;0.3;Layak;0.07;Layak;0.02;Layak;Tidak ada data;Tidak Layak;29.4;Layak;Access Forbidden;Tidak Layak;Access Forbidden;Tidak Layak;Tidak ada data;Layak;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;Tidak ada data;Tidak diketahui status kelayakan;1.8;Layak;Tidak ada data;Tidak ada baku mutu
